,Time,Power
69,20180104_5,105.4400000000023
70,20180104_6,107.5040000000154
71,20180104_7,107.6000000000058
72,20180104_10,232.3679999999877
73,20180104_11,239.7280000000028
74,20180104_12,243.1840000000084
75,20180104_13,253.3440000000119
76,20180104_14,249.487999999983
77,20180104_15,247.5359999999928
78,20180104_17,205.7919999999867
79,20180104_18,150.8159999999916
80,20180104_19,240.2400000000198
81,20180104_20,237.4560000000056
82,20180104_22,222.1760000000068
83,20180105_0,108.6559999999881
84,20180105_1,104.4320000000007
85,20180105_2,96.8640000000014
86,20180105_4,89.2960000000021
87,20180105_6,89.43999999997322
88,20180105_7,84.76800000001094
89,20180105_8,183.679999999993
90,20180105_9,208.1600000000035
91,20180105_10,219.9200000000128
92,20180105_11,230.9919999999984
93,20180105_12,246.3040000000037
94,20180105_13,254.6879999999946
95,20180105_14,247.2319999999891
96,20180105_15,264.8800000000047
97,20180105_16,252.064000000013
98,20180105_17,216.5919999999751
99,20180105_18,154.5760000000009
100,20180105_19,244.9920000000275
101,20180105_20,246.2559999999939
102,20180105_21,240.8800000000047
103,20180105_22,228.8640000000014
104,20180106_0,136.2559999999939
105,20180106_1,129.3759999999893
106,20180106_2,113.3760000000184
107,20180106_3,112.9759999999951
108,20180106_4,113.1039999999921
109,20180106_5,114.7999999999884
110,20180106_6,122.0480000000098
111,20180106_7,116.3680000000168
112,20180106_8,200.0959999999905
113,20180106_9,208.4640000000072
114,20180106_10,219.6319999999832
115,20180106_11,227.0240000000049
116,20180106_12,231.7440000000061
117,20180106_13,234.127999999997
118,20180106_14,233.2799999999988
119,20180106_15,249.9200000000128
120,20180106_16,244.8799999999756
121,20180106_17,183.9360000000161
122,20180106_18,136.0320000000065
123,20180106_19,227.5039999999863
124,20180106_20,217.5359999999928
125,20180106_21,219.3440000000119
126,20180106_22,213.2000000000116
127,20180106_23,203.0719999999856
128,20180107_0,110.3679999999877
129,20180107_1,102.5440000000235
130,20180107_2,99.67999999999302
131,20180107_3,100.7200000000012
132,20180107_4,98.60800000000745
133,20180107_5,96.36799999998766
134,20180107_6,98.22399999998743
135,20180107_7,94.49600000001374
136,20180107_8,96.97599999999511
137,20180107_9,92.83199999999488
138,20180107_10,108.2400000000198
139,20180107_11,109.9839999999967
140,20180107_12,110.7519999999786
