,date_time,power,temp,hum,wind,sun,prec,day,month,week,holiday,sin_time,cos_time,THI
36,2018-01-02 19:00:00,158.9919999999984,-0.3,64.0,1.3,0.0,0.0,1,1,1,0,-0.9659258262890684,0.2588190451025203,13.7984
37,2018-01-02 20:00:00,157.1520000000019,-0.9,65.0,0.9,0.0,0.0,1,1,1,0,-0.8660254037844386,0.5000000000000001,12.862499999999997
38,2018-01-02 21:00:00,166.7839999999851,-1.2,56.0,1.1,0.0,0.0,1,1,1,0,-0.7071067811865477,0.7071067811865474,11.738400000000002
39,2018-01-02 22:00:00,159.551999999996,-1.7,61.0,1.8,0.0,0.0,1,1,1,0,-0.5000000000000004,0.8660254037844384,10.9649
40,2018-01-02 23:00:00,152.7680000000109,-1.7,56.0,1.5,0.0,0.0,1,1,1,0,-0.25881904510252157,0.9659258262890681,10.838400000000004
41,2018-01-03 00:00:00,145.0400000000081,-1.5,53.0,1.6,0.0,0.0,2,1,1,0,0.0,1.0,11.3601
42,2018-01-03 01:00:00,143.7599999999802,-2.1,57.0,1.6,0.0,0.0,2,1,1,0,0.25881904510252074,0.9659258262890683,10.104099999999992
43,2018-01-03 03:00:00,127.3280000000086,-2.5,61.0,2.9,0.0,0.0,2,1,1,0,0.7071067811865476,0.7071067811865476,9.524899999999999
44,2018-01-03 04:00:00,119.2159999999858,-3.0,58.0,1.6,0.0,0.0,2,1,1,0,0.8660254037844386,0.5000000000000001,8.489599999999996
45,2018-01-03 05:00:00,115.9679999999935,-3.9,58.0,1.1,0.0,0.0,2,1,1,0,0.9659258262890683,0.25881904510252074,6.869599999999995
46,2018-01-03 06:00:00,121.6800000000221,-5.0,55.0,0.2,0.0,0.0,2,1,1,0,1.0,6.123233995736766e-17,4.932500000000001
47,2018-01-03 07:00:00,142.9919999999984,-5.7,54.0,0.6,0.0,0.0,2,1,1,0,0.9659258262890683,-0.25881904510252063,3.726399999999998
48,2018-01-03 08:00:00,218.6239999999816,-5.7,61.0,0.9,0.0,0.0,2,1,1,0,0.8660254037844387,-0.4999999999999998,3.7648999999999972
49,2018-01-03 09:00:00,239.6320000000123,-4.7,58.0,0.5,1.0,0.0,2,1,1,0,0.7071067811865476,-0.7071067811865475,5.4295999999999935
57,2018-01-03 17:00:00,240.3360000000102,0.3,35.0,2.1,0.7,0.0,2,1,1,0,-0.9659258262890683,-0.25881904510252063,19.3125
58,2018-01-03 18:00:00,184.127999999997,-1.4,43.0,1.6,0.0,0.0,2,1,1,0,-1.0,-1.8369701987210297e-16,13.366099999999996
63,2018-01-03 23:00:00,226.6720000000205,-3.8,66.0,1.1,0.0,0.0,2,1,1,0,-0.25881904510252157,0.9659258262890681,7.8064
64,2018-01-04 00:00:00,124.8640000000014,-4.1,69.0,0.9,0.0,0.0,3,1,1,0,0.0,1.0,7.876899999999996
65,2018-01-04 01:00:00,118.3039999999746,-4.2,71.0,0.9,0.0,0.0,3,1,1,0,0.25881904510252074,0.9659258262890683,8.2029
66,2018-01-04 02:00:00,118.4640000000072,-4.2,72.0,1.0,0.0,0.0,3,1,1,0,0.49999999999999994,0.8660254037844387,8.485599999999998
67,2018-01-04 03:00:00,109.2479999999923,-4.2,75.0,1.5,0.0,0.0,3,1,1,0,0.7071067811865476,0.7071067811865476,9.4525
68,2018-01-04 04:00:00,109.1359999999986,-4.5,74.0,1.6,0.0,0.0,3,1,1,0,0.8660254037844386,0.5000000000000001,8.570399999999996
69,2018-01-04 05:00:00,105.4400000000023,-4.7,75.0,1.2,0.0,0.0,3,1,1,0,0.9659258262890683,0.25881904510252074,8.552499999999998
70,2018-01-04 06:00:00,107.5040000000154,-5.1,74.0,1.3,0.0,0.0,3,1,1,0,1.0,6.123233995736766e-17,7.490399999999994
71,2018-01-04 07:00:00,107.6000000000058,-5.7,69.0,0.8,0.0,0.0,3,1,1,0,0.9659258262890683,-0.25881904510252063,4.996899999999997
72,2018-01-04 10:00:00,232.3679999999877,-4.3,58.0,1.0,0.8,0.0,3,1,1,0,0.49999999999999994,-0.8660254037844387,6.149599999999992
73,2018-01-04 11:00:00,239.7280000000028,-3.1,47.0,1.1,0.7,0.0,3,1,1,0,0.258819045102521,-0.9659258262890682,9.338099999999997
74,2018-01-04 12:00:00,243.1840000000084,-1.7,43.0,1.3,1.0,0.0,3,1,1,0,1.2246467991473532e-16,-1.0,12.826099999999997
78,2018-01-04 17:00:00,205.7919999999867,-0.9,43.0,0.7,0.0,0.0,3,1,1,0,-0.9659258262890683,-0.25881904510252063,14.266099999999994
79,2018-01-04 18:00:00,150.8159999999916,-1.4,44.0,0.6,0.0,0.0,3,1,1,0,-1.0,-1.8369701987210297e-16,13.094399999999997
